"id","county_id","name"
257,14,"19 mayis"
258,14,Pinartepe
259,14,Bahçeli̇evler
260,14,Güzelce
261,14,Kumburgaz
262,14,Yeni̇mahalle
263,14,Eki̇noba
264,14,Mi̇marsi̇nan
265,14,Murat çesme
266,14,Hürri̇yet
267,14,Ulus
268,14,Ahmedi̇ye
269,14,Türkoba
270,14,Celali̇ye
271,14,Kami̇loba
272,14,Çakmakli
273,14,Si̇nanoba
274,14,Mi̇maroba
275,15,Merkez
276,15,Ferhatpaşa
277,15,Kalei̇çi̇
278,15,Çakil
279,15,İzzetti̇n
280,15,Ovayeni̇ce
281,15,Bahşayi̇ş
282,15,Atatürk
283,15,Fati̇h
284,15,Muratbey merkez
285,15,Nakkaş
286,15,Karacaköy merkez
287,15,Çi̇ftli̇kköy
288,15,Yaylacik
289,15,Yazlik
290,15,Başak
291,15,Belgrat
292,15,Celepköy
293,15,Hi̇sarbeyli̇
294,15,Karamandere
295,15,Ormanli
296,15,Yaliköy
297,15,Akalan
298,15,Aydinlar
299,15,Çanakça
300,15,Dağyeni̇ce
301,15,Elbasan
302,15,Gökçeali̇
303,15,Gümüşpinar
304,15,Hallaçli
305,15,İhsani̇ye
306,15,İnceği̇z
307,15,Kabakça
308,15,Kalfa
309,15,Kestaneli̇k
310,15,Kizilcaali̇
311,15,Oklali
312,15,Örcünlü
313,15,Örenci̇k
314,15,Subaşi
315,15,Ferhatpaşa sb
316,16,Merkez
317,16,Alemdağ
318,16,Çatalmeşe
319,16,Ekşi̇oğlu
320,16,Ni̇şantepe
321,16,Çamlik
322,16,Hami̇di̇ye
323,16,Mehmet aki̇f
324,16,Mi̇mar si̇nan
325,16,Ömerli̇
326,16,Sultançi̇ftli̇ği̇
327,16,Taşdelen
328,16,Aydinlar
329,16,Soğukpinar
330,16,Güngören
331,16,Cumhuri̇yet
332,16,Ki̇razlidere
333,16,Hüseyi̇nli̇
334,16,Koçullu
335,16,Reşadi̇ye
336,16,Sirapinar
337,17,Merkez
338,17,Çi̇fte havuzlar
339,17,Mi̇mar si̇nan
340,17,Davutpaşa
341,17,Ni̇ne hatun
342,17,Namik kemal
343,17,Fevzi̇ çakmak
344,17,Kazim karabeki̇r
345,17,Menderes
346,17,Bi̇rli̇k
347,17,Yavuz seli̇m
348,17,Fati̇h
349,17,Tuna
350,17,Kemer
351,17,Turgut rei̇s
352,17,Havaalani
353,17,Oruçrei̇s
354,17,"15 temmuz"
355,18,Merkez
356,18,Fati̇h
357,18,İnci̇rtepe
358,18,İnönü
359,18,Mehterçeşme
360,18,Bağlarçeşme
361,18,Namik kemal
362,18,Örnek
363,18,Saadetdere
364,18,Talatpaşa
365,18,Yeni̇kent
366,18,Ardiçli
367,18,Orhan gazi̇
368,18,Pinar
369,18,Cumhuri̇yet
370,18,Yeşi̇lkent
371,18,İsti̇klal
372,18,Akçaburgaz
373,18,Atatürk
374,18,Güzelyurt
375,18,Osmangazi̇
376,18,Hürri̇yet
377,18,Neci̇p fazil kisakürek
378,18,Pi̇ri̇ rei̇s
379,18,Barbaros hayretti̇n paşa
380,18,Gökevler
381,18,Mevlana
382,18,Mehmet aki̇f ersoy
383,18,Üçevler
384,18,Akevler
385,18,Zafer
386,18,Turgut özal
387,18,Akşemseddi̇n
388,18,Yunus emre
389,18,Sultani̇ye
390,18,Balikyolu
391,18,Süleymani̇ye
392,18,Çinar
393,18,Selahaddi̇n eyyubi̇
394,18,Aşik veysel
395,18,Koza
396,18,Şehi̇tler
397,18,Battalgazi̇
398,18,Esenkent
399,20,Merkez
400,20,Alemdar
401,20,Balabanağa
402,20,Beyazit
403,20,Bi̇nbi̇rdi̇rek
404,20,Cankurtaran
405,20,Demi̇rtaş
406,20,Emi̇n si̇nan
407,20,Haci kadin
408,20,Hobyar
409,20,Hoca giyasetti̇n
410,20,Hocapaşa
411,20,Kemalpaşa
412,20,Kalenderhane
413,20,Kati̇p kasim
414,20,Küçük ayasofya
415,20,Mercan
416,20,Mesi̇hpaşa
417,20,Mi̇mar hayretti̇n
418,20,Mi̇mar kemaletti̇n
419,20,Molla fenari̇
420,20,Molla hüsrev
421,20,Muhsi̇ne hatun
422,20,Ni̇şanca
423,20,Rüstempaşa
424,20,Saraç i̇shak
425,20,Saridemi̇r
426,20,Sultan ahmet
427,20,Sururi̇
428,20,Süleymani̇ye
429,20,Şehsuvar bey
430,20,Tahtakale
431,20,Taya hatun
432,20,Yavuz si̇nan
433,20,Seyyi̇d ömer
434,20,Koca mustafapaşa
435,20,İskenderpaşa
436,20,Dervi̇ş ali̇
437,20,Aksaray
438,20,Cerrahpaşa
439,20,Haseki̇ sultan
440,20,Yedi̇kule
441,20,Sümbül efendi̇
442,20,Si̇li̇vri̇kapi
443,20,Şehremi̇ni̇
444,20,Mevlanakapi
445,20,Topkapi
446,20,Molla gürani̇
447,20,Akşemsetti̇n
448,20,Hirka-i̇ şeri̇f
449,20,Karagümrük
450,20,Ati̇kali̇
451,20,Ali̇ kuşçu
452,20,Zeyrek
453,20,Ci̇bali̇
454,20,Yavuz sultan seli̇m
455,20,Balat
456,20,Ayvansaray
457,21,Merkez
458,21,Yildiztabya
459,21,Pazari̇çi̇
460,21,Karlitepe
461,21,Yeni̇doğan
462,21,Sarigöl
463,21,Bağlarbaşi
464,21,Şemsi̇paşa
465,21,Fevzi̇ çakmak
466,21,Hürri̇yet
467,21,Barbaros hayretti̇n paşa
468,21,Yeni̇ mahalle
469,21,Kazim karabeki̇r
470,21,Mevlana
471,21,Karayollari
472,21,Karadeni̇z
473,22,Merkez
474,22,Akincilar
475,22,Gençosman
476,22,Güneştepe
477,22,Güven
478,22,Haznedar
479,22,Mareşal çakmak
480,22,Sanayi̇
481,22,Abdurrahman nafi̇z gürman
482,22,Tozkoparan
483,22,Mehmet nesi̇h özmen
484,23,Merkez
485,23,Rasi̇mpaşa
486,23,Koşuyolu
487,23,Acibadem
488,23,Hasanpaşa
489,23,Osmanağa
490,23,Caferağa
491,23,Zühtüpaşa
492,23,Fenerbahçe
493,23,Feneryolu
494,23,Eği̇ti̇m
495,23,Fi̇ki̇rtepe
496,23,Dumlupinar
497,23,Merdi̇venköy
498,23,Göztepe
499,23,Caddebostan
500,23,Suadi̇ye
501,23,Bostanci
502,23,Erenköy
503,23,Sahrayicedi̇t
504,23,"19 mayis"
505,23,Kozyataği
506,24,Merkez
507,24,Çağlayan
508,24,Çeli̇ktepe
509,24,Emni̇yet evleri̇
510,24,Gültepe
511,24,Gürsel
512,24,Harmantepe
513,24,Hami̇di̇ye
514,24,Hürri̇yet
515,24,Mehmet aki̇f ersoy
516,24,Nurtepe
517,24,Ortabayir
518,24,Sultan seli̇m
519,24,Seyrantepe
520,24,Şi̇ri̇ntepe
521,24,Talatpaşa
522,24,Telsi̇zler
523,24,Yahya kemal
524,24,Yeşi̇lce
525,25,Merkez
526,25,Atalar
527,25,Cevi̇zli̇
528,25,Cumhuri̇yet
529,25,Yakacik çarşi
530,25,Çavuşoğlu
531,25,Esentepe
532,25,Gümüşpinar
533,25,Hürri̇yet
534,25,Karliktepe
535,25,Kordonboyu
536,25,Orhantepe
537,25,Orta
538,25,Petrol i̇ş
539,25,Soğanlik yeni̇
540,25,Topselvi̇
541,25,Uğur mumcu
542,25,Yakacik yeni̇
543,25,Yali
544,25,Yukari
545,25,Yunus
546,26,Merkez
547,26,Atakent
548,26,Mehmet aki̇f
549,26,Söğütlü çeşme
550,26,Kartaltepe
551,26,Gültepe
552,26,Atatürk
553,26,İnönü
554,26,Tevfi̇kbey
555,26,Kemalpaşa
556,26,Sultan murat
557,26,Fevzi̇ çakmak
558,26,Yarimburgaz
559,26,Yeni̇ mahalle
560,26,Cumhuri̇yet
561,26,Beşyol
562,26,Kanarya
563,26,İstasyon
564,26,Fati̇h
565,26,Cennet
566,26,Halkali merkez
567,26,Yeşi̇lova
568,26,Küçükçekmece i̇ki̇telli̇osb
569,27,Merkez
570,27,Çinar
571,27,İdealtepe
572,27,Feyzullah
573,27,Altayçeşme
574,27,Altintepe
575,27,Cevi̇zli̇
576,27,Bağlarbaşi
577,27,Yali
578,27,Aydinevler
579,27,Gi̇rne
580,27,Findikli
581,27,Esenkent
582,27,Gülsuyu
583,27,Gülensu
584,27,Zümrütevler
585,27,Büyükbakkalköy
586,27,Küçükyali merkez
587,27,Başibüyük
588,28,Merkez
589,28,Dumlupinar
590,28,Doğu
591,28,Bahçeli̇evler
592,28,Fevzi̇ çakmak
593,28,Şeyhli̇
594,28,Kaynarca
595,28,Ahmet yesevi̇
596,28,Bati
597,28,Ertuğrul gazi̇
598,28,Harmandere
599,28,Sapan bağlari
600,28,Esenler
601,28,Ramazanoğlu
602,28,Güllü bağlar
603,28,Yayalar
604,28,Veli̇baba
605,28,Çinardere
606,28,Orta
607,28,Kavakpinar
608,28,Fati̇h
609,28,Yeşi̇lbağlar
610,28,Çamçeşme
611,28,Orhangazi̇
612,28,Sanayi̇
613,28,Yeni̇şehi̇r
614,28,Kurtköy
615,28,Sülüntepe
616,28,Çamlik
617,28,Ballica
618,28,Emi̇rli̇
619,28,Göçbeyli̇
620,28,Kurna
621,28,Kurtdoğmuş
622,28,Güzelyali
623,28,Esenyali
624,28,Yeni̇
625,29,Merkez
626,29,Veysel karani̇
627,29,Akpinar
628,29,Fati̇h
629,29,Eyüp sultan
630,29,Abdurrahmangazi̇
631,29,Osmangazi̇
632,29,Emek
633,29,İnönü
634,29,Kemal türkler
635,29,Mecli̇s
636,29,Sarigazi̇
637,29,Safa
638,29,Yunus emre
639,29,Mevlana
640,29,Yeni̇doğan
