"id","city_id","name"
243,15,Manyas
244,15,Marmara
246,15,Sindirgi
247,15,Susurluk
248,16,Amasra
250,16,Merkez
251,16,Ulus
252,17,Beşi̇ri̇
253,17,Gercüş
254,17,Hasankeyf
255,17,Kozluk
257,17,Sason
258,18,Aydintepe
259,18,Demi̇rözü
260,18,Merkez
261,19,Bozüyük
262,19,Gölpazari
263,19,İnhi̇sar
264,19,Merkez
265,19,Osmaneli̇
268,19,Yeni̇pazar
269,20,Adakli
270,20,Genç
271,20,Karliova
272,20,Ki̇ği
273,20,Merkez
274,20,Solhan
275,20,Yayladere
276,20,Yedi̇su
278,21,Ahlat
279,21,Güroymak
280,21,Hi̇zan
281,21,Merkez
282,21,Mutki̇
283,21,Tatvan
285,22,Gerede
286,22,Göynük
287,22,Kibriscik
288,22,Mengen
289,22,Merkez
290,22,Mudurnu
292,22,Yeni̇çağa
293,23,Ağlasun
294,23,Altinyayla
295,23,Bucak
296,23,Çavdir
297,23,Çelti̇kçi̇
299,23,Karamanli
300,23,Kemer
301,23,Merkez
303,23,Yeşi̇lova
309,24,Eceabat
310,24,Ezi̇ne
311,24,Geli̇bolu
312,24,Gökçeada
313,24,Lapseki̇
314,24,Merkez
315,24,Yeni̇ce
317,25,Bayramören
318,25,Çerkeş
319,25,Eldi̇van
320,25,Ilgaz
321,25,Kizilirmak
323,25,Kurşunlu
324,25,Merkez
325,25,Orta
326,25,Şabanözü
328,26,Alaca
332,26,İski̇li̇p
333,26,Kargi
334,26,Laçi̇n
336,26,Merkez
337,26,Oğuzlar
338,26,Ortaköy
339,26,Osmancik
341,26,Uğurludağ
342,27,Acipayam
343,27,Babadağ
344,27,Baklan
345,27,Beki̇lli̇
346,27,Beyağaç
347,27,Bozkurt
348,27,Buldan
350,27,Çameli̇
351,27,Çardak
353,27,Güney
354,27,Honaz
355,27,Kale
356,27,Merkezefendi̇
357,27,Pamukkale
358,27,Sarayköy
360,27,Tavas
361,28,Bağlar
362,28,Bi̇smi̇l
363,28,Çermi̇k
364,28,Çinar
365,28,Çüngüş
366,28,Di̇cle
367,28,Eği̇l
368,28,Ergani̇
369,28,Hani̇
371,28,Kayapinar
372,28,Kocaköy
373,28,Kulp
374,28,Li̇ce
376,28,Sur
377,28,Yeni̇şehi̇r
378,29,Akçakoca
379,29,Çi̇li̇mli̇
380,29,Cumayeri̇
381,29,Gölyaka
383,29,Kaynaşli
385,29,Yiğilca
386,30,Enez
387,30,Havsa
388,30,İpsala
389,30,Keşan
390,30,Lalapaşa
391,30,Meri̇ç
392,30,Merkez
393,30,Süloğlu
394,30,Uzunköprü
396,31,Alacakaya
397,31,Aricak
398,31,Baski̇l
399,31,Karakoçan
400,31,Keban
402,31,Maden
403,31,Merkez
404,31,Palu
405,31,Si̇vri̇ce
407,32,İli̇ç
408,32,Kemah
409,32,Kemali̇ye
410,32,Merkez
411,32,Otlukbeli̇
412,32,Refahi̇ye
413,32,Tercan
414,32,Üzümlü
417,33,Çat
418,33,Hinis
419,33,Horasan
420,33,İspi̇r
421,33,Karaçoban
422,33,Karayazi
423,33,Köprüköy
424,33,Narman
425,33,Oltu
